%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
72.0, -20624.736919967763, 4476.227399853158, 169.89560960478897, -17988.818048097855, -8010.976971504328, -16298.310911454073, -10000.081062326559, -12548.850482565224, -10619.62671513876, 4347.660165746232, -28835.538486902537, 7494.204639697628, 4320.882775888775, 9238.668887456524, -3529.5863186819934, 8336.373667284688, 0.094, -0.11800000000000001, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637662706E9, 0.0, 2026-05-22 16:29:23.766
74.0, -20779.545102065218, 4360.870046719318, 184.1336708228196, -18171.051820641973, -8120.858147246618, -16476.342556040592, -9972.588416646531, -12625.02522766891, -10580.555865830884, 4325.889566646763, -28928.4770403477, 7507.883907304276, 4247.9937372200175, 9186.701081597934, -3579.5871710285155, 8270.860704286182, 0.094, -0.11800000000000001, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163774274E9, 0.0, 2026-05-22 16:29:23.774
76.0, -20630.101338637036, 4477.3226353314685, 190.1909935702078, -17987.99103355301, -8021.392884420501, -16294.89109455241, -10004.462004239798, -12551.800912833323, -10601.588857363327, 4320.346334021847, -28946.090214978485, 7462.956900949109, 4271.306606686903, 9226.10720707264, -3610.119653954465, 8241.356401605177, 0.098, -0.122, 1.006, 192.0, 1.5, 8.0, 126.0, 24.0, 15.5, 56.0, 0.0, 0.0, 0.0, 1.7794601637812772E9, 0.0, 2026-05-22 16:29:23.781
78.0, -20696.508371413755, 4418.537547414011, 206.0160286445652, -18084.28234866647, -8068.935044876939, -16390.422450354392, -9982.222018506769, -12592.503439486438, -10591.284703169431, 4366.390927599779, -28818.662919838778, 7535.197739028662, 4347.660165746232, 9235.316125788228, -3516.7117138757367, 8350.455266291532, 0.098, -0.122, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637892776E9, 0.0, 2026-05-22 16:29:23.789
80.0, -20728.113738073556, 4412.971963044639, 192.4038162712832, -18102.074337252896, -8090.504478276311, -16409.53319186368, -9987.809954620596, -12599.365425034217, -10574.967929717057, 4295.80411860992, -29014.41949777836, 7459.425325325171, 4199.043416862895, 9177.916846027, -3655.8513231100233, 8183.018348576827, 0.098, -0.122, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601637982695E9, 0.0, 2026-05-22 16:29:23.798
82.0, -20600.97701561177, 4502.334237376957, 219.20355787319636, -17979.676184615637, -8003.064453967149, -16285.995100259199, -9993.509649456699, -12545.698886597025, -10594.078671226343, 4396.275209936525, -28805.14011444332, 7534.482483206092, 4323.117950334305, 9280.444297843493, -3511.637867884382, 8359.75359198494, 0.098, -0.122, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601638072743E9, 0.0, 2026-05-22 16:29:23.807
84.0, -20763.809473968682, 4378.997311472573, 215.38140957133885, -18167.16261710675, -8111.135138408558, -16469.614680959545, -9967.82749507755, -12624.30997184634, -10570.676394781638, 4338.875930175296, -28913.546075051556, 7516.198756241651, 4298.3522174778245, 9192.62429387859, -3578.827211717035, 8268.06673622927, 0.098, -0.122, 1.006, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601638132784E9, 0.0, 2026-05-22 16:29:23.813
86.0, -20618.210210586814, 4492.544173305532, 209.2123281016741, -17985.822914340846, -8004.4055586344675, -16289.727841583233, -9999.79048964864, -12549.76690408789, -10580.689976297615, 4337.311308063425, -28933.282665405593, 7476.747927278034, 4250.1618564321825, 9203.710759128424, -3600.240182905219, 8246.944337719004, 0.10200000000000001, -0.11800000000000001, 1.004, 192.0, 1.5, 24.0, 126.0, 40.0, 15.5, 48.0, 0.0, 0.0, 0.0, 1.77946016382227E9, 0.0, 2026-05-22 16:29:23.822
88.0, -20672.592004846574, 4440.68812616922, 241.60000581741403, -18078.359136385818, -8051.21011152388, -16375.223264124783, -9968.051012522104, -12584.21094229352, -10567.435391835617, 4388.876782521818, -28804.201341176195, 7553.6826316932, 4354.276282105003, 9251.521140518325, -3503.3230189470078, 8356.222016361, 0.10200000000000001, -0.11800000000000001, 1.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.779460163830274E9, 0.0, 2026-05-22 16:29:23.830
90.0, -20731.466499741855, 4404.63476236281, 224.81384573147844, -18110.00920653453, -8079.708585704397, -16412.729491320788, -9981.774983617663, -12594.984483120978, -10550.604528260772, 4315.920688619696, -28996.78397140312, 7475.630340055269, 4223.40681831918, 9246.648460227068, -3635.466532166783, 8194.305979526756, 0.10200000000000001, -0.11800000000000001, 1.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7794601638372722E9, 0.0, 2026-05-22 16:29:23.837
